ProductGroupID,GroupName,GroupDescription,ParentGroupID,CreatedDate,UpdatedDate,IsActive,GroupManager,GroupPriority,Department
1,Husband,Develop compare quickly blood risk last story wall gas yes list fall represent unit too explain player.,,2019-10-30,2024-02-12,False,Derrick Rangel,2,Perform
2,Central,Agree bank possible difficult kitchen also sell television several real action can service raise occur near start various.,,2021-11-04,2023-11-27,False,Joseph Lewis,10,Fear
3,Another,Main seven line rich character easy read PM enter record itself husband fill.,,2019-10-24,2023-10-14,False,Mr. Thomas Castro DDS,1,Per
4,Citizen,Glass past president behavior cost chance bill foreign street behind debate modern whom seem usually where surface together.,,2022-02-23,2024-02-14,True,Jeff Frey,7,Energy
5,Expect,Significant song thing kid listen goal star two class day possible respond voice.,,2020-12-24,2023-10-20,False,Joshua Collins,10,Up
6,Into,Final structure through board tell information father always join body never born ability support increase.,,2019-10-20,2024-02-02,True,Brooke Mooney,2,Policy
7,Former,Treat sign send Mrs billion force answer many way manage.,,2022-05-11,2023-10-22,True,Frank Leonard,2,Which
8,Bag,Similar down month space key brother near job above according four arrive table customer bring section different investment let.,,2020-08-10,2024-04-16,False,Amanda Levine,5,Commercial
9,Study,Later some argue charge Congress late traditional we why find meet pass instead pull dark field politics art.,94.0,2021-11-29,2024-03-25,True,Angelica Hernandez,2,Cost
10,Capital,Physical right difference black too subject many song gas eight garden series growth push south such four hundred.,,2023-03-14,2024-06-11,False,Joshua Warren,6,Industry
11,Box,Manage majority account send hundred concern north politics add better discuss white trouble sort within language human.,,2020-11-25,2024-01-24,True,Erin Brown,3,Response
12,Country,Lay conference wear might debate rather they inside especially yard just kid read experience land building just art feeling.,,2021-12-15,2024-03-14,False,Melissa Mccann,4,Movement
13,Skill,Believe know note rather glass form say through course.,,2020-02-29,2023-11-15,True,Julie Mcpherson,3,News
14,Unit,Though sister standard activity buy fly shoulder relate house last food indicate page war direction development interesting Mr other.,,2020-01-29,2024-03-25,False,David Alvarez,7,Test
15,Marriage,Cause contain institution role relate fall bit animal over season free at attorney change then actually.,,2022-05-07,2023-10-20,False,Haley Hunter,9,Any
16,Health,Purpose must attack education black civil news prove daughter drug pick food education yet leg deal.,,2022-03-18,2024-06-13,True,Timothy Warren,7,Blue
17,Sister,Go inside party strong despite new part wide rule feeling.,,2022-01-27,2023-11-12,True,Jessica Hale,1,Environment
18,None,General win fact act fast information fast how clearly as anything sister head read occur write this home.,,2023-09-14,2023-06-30,True,Leslie Gibson,4,Key
19,International,Create miss trouble watch find teacher break practice support city like.,31.0,2022-11-30,2024-03-13,False,Gary James,6,Everybody
20,Security,Key order buy hour against environment modern term Mr build approach full fund son who.,,2021-05-15,2024-04-28,True,Hannah Henson,3,Main
21,Reality,Plant hot person hour pretty end son agreement foot cup participant write.,132.0,2022-01-22,2023-10-22,True,Charles Lane,1,One
22,Peace,Quite tonight economic religious lot help you stop southern hotel discover.,,2023-07-08,2023-11-11,True,Luke Nelson,1,Just
23,Box,Issue head police subject majority yet ability whose very behind eye nation voice total.,150.0,2022-09-01,2024-03-22,True,Emily Thompson PhD,2,Ready
24,Sea,Source threat lose low onto myself speak purpose Mrs reduce painting.,96.0,2019-12-11,2024-03-04,True,Gregory Harding,5,Inside
25,One,Note account rise agent picture record agreement nothing admit know their country end wife much for.,,2022-02-28,2023-06-23,True,Nichole Underwood,8,Seek
