CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,CustomerCity,CustomerState,CustomerZip,CustomerCountry,CustomerDOB,CustomerGender,CustomerCreatedDate
8dc31b60-08c6-4c46-8df6-b0c0f255f476,Eric Robinson,stephanie18@ramsey.com,(852)894-3633x908,"912 Kimberly Court, Tammymouth, NH 49479",Jessicastad,Connecticut,21189,Burkina Faso,1962-03-15,Female,2020-08-19
2e1f3b98-5f6a-44fd-8e06-baad4bd8abdb,Eric Smith,johnsonstacey@gmail.com,+1-007-252-8341x3020,"267 Diane Cape Suite 943, West Graceside, VA 71292",Johnsontown,New Hampshire,81926,Guinea-Bissau,1967-04-08,Male,2020-12-05
2dc57735-972a-4229-8477-737f2a56f5f2,Alan Villa,cburns@arnold.com,(192)039-5488x33054,"0214 Julie Trafficway Apt. 766, East Kennethstad, NC 98225",Casefurt,Arizona,24713,Libyan Arab Jamahiriya,1962-02-19,Female,2022-12-19
d035288f-6f70-4211-b2df-2a85d1a3320f,Eric Taylor,richard85@gmail.com,253-746-4218x2012,"627 Thomas Plains Apt. 570, Mercerview, LA 94532",North Kevinview,North Carolina,63154,Maldives,1957-02-08,Male,2023-11-23
114fff7e-8a75-44a2-ad3e-658f9d20dbda,Stephanie Morris,marcjackson@yahoo.com,655.140.8192,"2217 Steve Prairie, Christopherchester, MI 24520",East Clayton,Georgia,04958,Western Sahara,1984-09-26,Female,2021-10-21
9112631b-cb6f-4c36-881a-0af73f240002,Kenneth Johnson,jessica29@anderson.biz,(981)776-1732,"8490 Troy Via, Danamouth, PA 15306",North Timothy,Arizona,16422,Angola,1963-04-13,Female,2022-01-04
ec3ed05a-907a-400c-a34a-a353788ac6ec,David Berry,ichapman@hardy.net,523.367.0280,"USS Boyd, FPO AP 63950",North Richard,Montana,26466,Sudan,1949-10-28,Female,2022-12-05
a827477f-068f-4a9f-b252-307bfc51fdfa,Jason Baker,seanwilliams@gmail.com,(700)428-9427x505,"80859 Robert Forks Suite 568, Gibsonfurt, WY 35952",Port Mariaside,Missouri,48187,Nepal,1988-05-27,Female,2024-02-27
9b03c19b-5d16-43d4-ba83-fb26704417bd,Charles Martinez,zsmith@jordan.com,105-102-6828x75675,"790 Michael Freeway Apt. 745, Sarahview, MA 28547",North Christineburgh,Idaho,19470,Mali,1979-08-31,Male,2024-05-17
6f708050-3bb8-48bc-b1f2-d86233b669ee,Michael Mason,joshuabrown@yahoo.com,849.930.6081x2634,"39689 Hall Canyon Apt. 507, Lake Rachelview, WI 86511",Lake Feliciamouth,Delaware,90936,Luxembourg,2001-02-18,Female,2022-08-05
